O,O,P,M,N,K,G,S,X,E,B,P,M,N,O,O,O,O,O,O,P,M,N,O,O,O,P,M,N,O,O,O,S,G,K,O,O,O,O,O,O,S,G,K,K,G,S,O,O,O,B,E,X,O,O,O,O,O,O,B,E,X,X,E,B
P,P,M,N,O,L,H,T,U,F,C,M,N,O,P,P,P,P,P,P,M,N,O,P,P,P,M,N,O,P,P,P,T,H,L,P,P,P,P,P,P,T,H,L,L,H,T,U,F,C,P,P,P,P,P,P,U,F,C,P,P,P,U,F,C
Q,Q,W,K,C,M,I,E,T,S,R,W,K,C,Q,Q,Q,Q,Q,Q,W,K,C,Q,Q,Q,W,K,C,M,I,E,Q,Q,Q,Q,Q,Q,M,I,E,Q,Q,Q,M,I,E,Q,Q,Q,R,S,T,Q,Q,Q,Q,Q,Q,R,S,T,T,S,R
R,R,X,L,D,N,J,F,Q,T,S,R,R,R,D,L,X,R,R,R,R,R,R,D,L,X,X,L,D,N,J,F,R,R,R,R,R,R,N,J,F,R,R,R,N,J,F,R,R,R,S,T,Q,R,R,R,R,R,R,S,T,Q,Q,T,S
S,S,U,I,A,O,K,G,R,Q,T,S,S,S,A,I,U,S,S,S,S,S,S,A,I,U,U,I,A,S,S,S,G,K,O,S,S,S,S,S,S,G,K,O,O,K,G,S,S,S,T,Q,R,S,S,S,S,S,S,T,Q,R,R,Q,T
T,T,V,J,B,P,L,H,S,R,Q,V,J,B,T,T,T,T,T,T,V,J,B,T,T,T,V,J,B,T,T,T,H,L,P,T,T,T,T,T,T,H,L,P,P,L,H,T,T,T,Q,R,S,T,T,T,T,T,T,Q,R,S,S,R,Q
U,U,I,A,S,X,W,V,F,C,P,U,U,U,S,A,I,U,U,U,U,U,U,S,A,I,I,A,S,U,U,U,V,W,X,U,U,U,U,U,U,V,W,X,X,W,V,F,C,P,U,U,U,U,U,U,F,C,P,U,U,U,F,C,P
V,V,J,B,T,U,X,W,G,D,M,J,B,T,V,V,V,V,V,V,J,B,T,V,V,V,J,B,T,V,V,V,W,X,U,V,V,V,V,V,V,W,X,U,U,X,W,G,D,M,V,V,V,V,V,V,G,D,M,V,V,V,G,D,M
W,W,K,C,Q,V,U,X,H,A,N,K,C,Q,W,W,W,W,W,W,K,C,Q,W,W,W,K,C,Q,W,W,W,X,U,V,W,W,W,W,W,W,X,U,V,V,U,X,W,W,W,N,A,H,W,W,W,W,W,W,N,A,H,H,A,N
X,X,L,D,R,W,V,U,E,B,O,X,X,X,R,D,L,X,X,X,X,X,X,R,D,L,L,D,R,X,X,X,U,V,W,X,X,X,X,X,X,U,V,W,W,V,U,X,X,X,O,B,E,X,X,X,X,X,X,O,B,E,E,B,O
a,a,s,u,i,b,c,d,n,w,h,a,a,a,a,a,a,s,u,i,s,u,i,i,u,s,a,a,a,b,c,d,a,a,a,a,a,a,b,c,d,a,a,a,b,c,d,a,a,a,h,w,n,a,a,a,a,a,a,h,w,n,n,w,h
b,b,t,v,j,c,d,a,o,x,e,t,v,j,b,b,b,b,b,b,t,v,j,b,b,b,t,v,j,c,d,a,b,b,b,b,b,b,c,d,a,b,b,b,c,d,a,b,b,b,b,b,b,o,x,e,o,x,e,e,x,o,b,b,b
c,c,q,w,k,d,a,b,p,u,f,c,c,c,c,c,c,q,w,k,q,w,k,k,w,q,c,c,c,d,a,b,c,c,c,c,c,c,d,a,b,c,c,c,d,a,b,p,u,f,c,c,c,c,c,c,p,u,f,c,c,c,p,u,f
d,d,r,x,l,a,b,c,m,v,g,d,d,d,l,x,r,d,d,d,d,d,d,l,x,r,r,x,l,a,b,c,d,d,d,d,d,d,a,b,c,d,d,d,a,b,c,d,d,d,d,d,d,m,v,g,m,v,g,g,v,m,d,d,d
e,e,h,g,f,q,m,i,b,o,x,e,e,e,f,g,h,e,e,e,e,e,e,f,g,h,h,g,f,q,m,i,e,e,e,e,e,e,q,m,i,e,e,e,q,m,i,e,e,e,e,e,e,b,o,x,b,o,x,x,o,b,e,e,e
f,f,e,h,g,r,n,j,c,p,u,f,f,f,g,h,e,f,f,f,f,f,f,g,h,e,e,h,g,f,f,f,f,f,f,r,n,j,r,n,j,j,n,r,f,f,f,c,p,u,f,f,f,f,f,f,c,p,u,f,f,f,c,p,u
g,g,f,e,h,s,o,k,d,m,v,g,g,g,h,e,f,g,g,g,g,g,g,h,e,f,f,e,h,g,g,g,k,o,s,g,g,g,g,g,g,k,o,s,s,o,k,g,g,g,g,g,g,d,m,v,d,m,v,v,m,d,g,g,g
h,h,g,f,e,t,p,l,a,n,w,h,h,h,e,f,g,h,h,h,h,h,h,e,f,g,g,f,e,h,h,h,h,h,h,t,p,l,t,p,l,l,p,t,h,h,h,h,h,h,w,n,a,h,h,h,h,h,h,w,n,a,a,n,w
